p,alga,lv,lv_s,lv_v,nonlv,mult,cits
Senior iOS Developer/Vecākais iOS Izstrādātājs/-a,5750,,,,,x,
Sertificēts ēku būvdarbu vadītājs/-a,2800,x,,,,,
Sertificēts/-a B1 vai B2 gaisa kuģu tehniķis/-e,3700,x,,,,,
Servisa meistars (-e) / pieņēmējs Jaguar / Land Rover autocentrā,2250,x,,,,,
Servisa meistars (-e)/ pieņēmējs (-a) BMW/ MINI/ BMW Motorrad autocentrā,2550,x,,,,,
Servisa meistars - pieņēmējs (-a),1850,x,,,,,
Servisa meistars/-e,3500,x,,,,,
Servisa meistars/e - pieņēmējs/a,2500,x,,,,,
Servisa projektu vadītāja asistents/ -e,1350,x,,,,,
Servisa tehniķis/-e,1550,x,,,,,
"Sezonas preču un dārza tehnikas pārdevējs/-a Lucavsalas ielā 3, Rīgā",240,x,,,,,
Sistēmanalītiķis/-e,2239,x,,,,,
Sistēmanalītiķis/-e,3400,x,,,,,
Sistēmanalītiķis/-e,2750,x,,,,,
Sistēmu analītiķis/-e,2200,x,,,,,
Sistēmu analītiķis/-e,2800,x,,,,,
Sistēmu analītiķis/-e,2800,x,,,,,
Sistēmu analītiķis/-e (junior/junior-middle),2450,x,,,,,
Sistēmu arhitekts/-e,3120,x,,,,,
Sistēmu atbalsta jaunākais speciālists/-e,1200,x,,,,,
Sistēmu vadības inženieris/-e,2200,x,,,,,
SmartTEH pārdošanas projektu vadītājs/-a,2000,x,,,,,
Specializēto automobiļu vadītāji/-as,2450,x,,,,,
Speciālists/-e doktorantūras procesu lietvedības organizēšanai,1600,x,,,,,
Spēļu Vadītājs-/a (Game presenter),1433,x,,,,,
Starptautiskais autotransporta kravu pārvadājumu speciālists/-e,1765,x,,,,,
Starptautiskās pārdošanas speciālists/-e,1985,x,,,,,
Sterilizācijas vadītāja/-s,1800,x,,,,,
Stjuarts/e // Cabin Crew,1500,,,,,x,
Stjuarts/e // Cabin Crew,1500,,,,,x,
Stratēģiskās biznesa plānošanas vadītājs/-a,3000,x,,,,,
TV biznesa vadītājs/-a,4000,x,,,,,
TVNET nacionālo ziņu žurnālists/-e,1250,x,,,,,
Talantu piesaistes projektu vadītājs/-a,1500,x,,,,,
Talantu piesaistes speciālists/te,1400,x,,,,,
Tehniskais asistents/-e Cēsu birojā ( darbam uz noteiktu laiku),1350,x,,,,,
Tehniskais strādnieks/-ce,360,x,,,,,
Tehniskais/-ā direktors/-e,3100,x,,,,,
Tehniskais/-ā projektu vadītājs/-a,3100,x,,,,,
Tehnisko risinājumu speciālists/-e,1700,x,,,,,
Tehniskā nodrošinājuma meistars/-e,2000,x,,,,,
Tehniskās dokumentācijas rakstītājs/-a,1500,x,,,,,
Tehniskās dokumentācijas rakstītājs/-a,1400,x,,,,,
Tehniskās informācijas tehniķis/-e,1395,x,,,,,
Tehniskās kontroles speciālists/-e,1500,x,,,,,
Tehniskās nodaļas asistents/-e,1250,x,,,,,
Tehniķis/-e,1600,x,,,,,
Tehnologs/-ģe (Kokapstrādes joma),1950,x,,,,,
Tehnoloģiju eksperts/-e Viedās uzskaites vadības centrā,2200,x,,,,,
Telekomunikāciju tehniķis/-e,2500,x,,,,,
Telepārdošanas speciālists/-e,1150,x,,,,,
Telepārdošanas speciālists/-e,1150,x,,,,,
Telpu un teritoriju uzkopšanas darbu vadītājs/-a,1850,x,,,,,
Telpu un teritoriju uzkopšanas darbu vadītājs/-a,1850,x,,,,,
Teritoriju uzkopšanas darbu vadītāju/-a,1900,x,,,,,
Testētājs/-a,2000,x,,,,,
Testētājs/-a,2750,x,,,,,
Tet pakalpojumu prezentētājs/-a (Promoters),900,x,,,,,
Tet pakalpojumu prezentētājs/-a (Promoters),900,x,,,,,
Tet pakalpojumu prezentētājs/-a (Promoters) Jēkabpilī uz noteiktu laiku,900,x,,,,,
Tet pakalpojumu prezentētājs/-a (Promoters) Jēkabpilī uz noteiktu laiku,900,x,,,,,
Tiesvedības un strīdu risināšanas prakses grupas vadītājs/-a,3500,x,,,,,
Tirdzniecības Pārstavja/-es amatu (Zemgalē),1375,x,,,,,
Tirdzniecības asistents (e),1350,x,,,,,
Tirdzniecības asistents/-e,2150,x,,,,,
Tirdzniecības aģents/-e Liepājas reģionā,1190,x,,,,,
Tirdzniecības kanālu attīstības vadītājs/-a (enerģijas jomā),2300,x,,,,,
Tirdzniecības projektu vadītājs/-a,2500,x,,,,,
Tirdzniecības pārstāvis/-e,3000,x,,,,,
Tirdzniecības pārstāvis/-e,1950,x,,,,,
Tirdzniecības pārstāvis/-e (Kurzeme),1462,x,,,,,
Tirdzniecības pārstāvis/-e (Kurzeme),1462,x,,,,,
"Tirdzniecības pārstāvis/-e (Rīga, Ādaži)",1350,x,,,,,
"Tirdzniecības pārstāvis/-e (Rīga, Ādaži)",1350,x,,,,,
Tirdzniecības pārstāvis/-e (Telesales pārdošanai),1300,x,,,,,
Tirdzniecības pārstāvis/-e Jelgavā,1800,x,,,,,
Tirdzniecības pārstāvis/-e Liepājā,1800,x,,,,,
Tirdzniecības pārstāvis/-e Rīgā,2200,x,,,,,
Tirdzniecības pārstāvis/-e Rīgā,2200,x,,,,,
Tirdzniecības pārstāvis/e,1600,x,,,,,
Tirdzniecības pārstāvis/e,1600,x,,,,,
Tirdzniecības pārstāvja/es amatu (RĪGA UN RĪGAS REĢIONĀ),1375,x,,,,,
Tirdzniecības veicinātājs/-a,1500,x,,,,,
Tirdzniecības veicinātājs/-a Rīgā,1175,x,,,,,
Tirgus direktors/-e,3900,x,,,,,
Tirgus izpētes un iepirkumu metodoloģijas nodaļas vadītājs/-a,2620,x,,,,,
Trader (Tirgotājs/-a),3400,x,,,,,
"Transporta koordinators /-e,  dispečers /-e",1500,x,,,,,
Transporta koordinators/-e,2000,x,,,,,
Transporta koordinators/-e - dispečeris/-e,1850,x,,,,,
Transportlīdzekļu vadītājs/-a ( 2 vakances),1054,x,,,,,
Tāmētāja asistents/-e,1200,x,,,,,
Tāmētājs / Datu analītiķis/-e,1600,x,,,,,
Tāmētājs/-a,1700,x,,,,,
Tāmētājs/-a,2300,x,,,,,
Tāmētājs/-a,2100,x,,,,,
Tāmētājs/-a,2200,x,,,,,
Tāmētājs/-a,2650,x,,,,,
Tāmētājs/-a ar pieredzi būvniecības projektu tāmēšanā,2150,x,,,,,
Tīkla vadītājs/-a,2000,x,,,,,
Ugunsdrošības un civilās aizsardzības speciālists/-e,1600,x,,,,,
Uzkopšanas darbu vadītāju asistents/-e,1000,x,,,,,
Uzkopšanas darbu vadītāju asistents/-e Jūrmalā,1200,x,,,,,
Uzlīmju līmētājs/-a,1081,x,,,,,
Uzraudzības eksperts/-e,2350,x,,,,,
Uzskaitvedis/-e,1300,x,,,,,
Uzņēmuma monitoringa inženieris/-e,5000,x,,,,,
Uzņēmuma risku pārvaldības vadītājs/-a,2750,x,,,,,
VAD departamenta Iesaucamo atlases nodaļas vecākais eksperts/-e,2263,x,,,,,
VAD departamenta vecākais referents/-e,1824,x,,,,,
VADĪBAS ASISTENTS-/E,1400,x,,,,,
VECĀKAIS JURISTS/-E Jauno klientu apstiprināšanas nodaļā,2300,x,,,,,
VEIKALA APRANGA PĀRDEVĒJS/-A - KONSULTANTS/-E TC DOMINA,1075,x,,,,,
VEIKALA WEEKEND MAXMARA PĀRDEVĒJS/-A - KONSULTANTS/-E,1175,x,,,,,
VIESNĪCAS ADMINISTRATORU/-I,240,x,,,,,
Vadošais programmēšanas inženieris/-e,2600,x,,,,,
Vadošais ražošanas inženieris/-e,1800,x,,,,,
Vadošais reģistrācijas dokumentācijas izstrādes speciālists/-e,2000,x,,,,,
Vadošais serveru administrators/-e,2600,x,,,,,
Vadošais/-ā informācijas tehnoloģiju administrators/-e,2300,x,,,,,
Vadošais/-ā telekomunikāciju tīklu inženieris/-e,2400,x,,,,,
Vadošais/-ā telekomunikāciju tīklu inženieris/-e,2400,x,,,,,
Vadības Asistents/-e,1200,x,,,,,
Vadītāja asistents/-e,1400,x,,,,,
Vadītāja asistents/-e,1400,x,,,,,
Vadītāja bizness asistents/-e,1800,x,,,,,
Vadītājs/-a Degvielas uzpildes stacijā Virši Satekle,1500,x,,,,,
Vadītājs/-a Virši veikaliem Tērbata un Origo,1600,x,,,,,
Vagonu apkopes operators/-e,1300,x,,,,,
Valdes asistents/-e / biroja administrators/-e,2000,x,,,,,
Valdes asistents/-e / biroja administrators/-e,2000,x,,,,,
Vecākais AML speciālists/-e,1900,x,,,,,
Vecākais Konsultants/-e Risku konsultāciju nodaļā,2100,x,,,,,
Vecākais Konsultants/-e Vadības konsultāciju nodaļā,2300,x,,,,,
Vecākais eksperts/-e projektu atlases jomā,1965,x,,,,,
Vecākais eksperts/-e risku vadības jautājumos,1997,x,,,,,
Vecākais finansists/-e,1483,x,,,,,
Vecākais full-stack programmētājs/-a,3250,x,,,,,
Vecākais grāmatvedis/-e,2300,x,,,,,
Vecākais iepirkumu speciālists/-e uz noteiktu laiku,1000,x,,,,,
Vecākais inspektors/-e (2 vakances) Rīgas /Zemgales reģionā un Kurzemes reģionā,1219,x,,,,,
Vecākais inspektors/-e (2 vakances) Rīgas /Zemgales reģionā un Kurzemes reģionā,1219,x,,,,,
Vecākais juriskonsults/-e,1700,x,,,,,
Vecākais jurists/-e,2448,x,,,,,
Vecākais kasieris/-e,360,x,,,,,
Vecākais kasieris/-e,360,x,,,,,
Vecākais kasieris/-e,360,x,,,,,
Vecākais kasieris/-e,974,x,,,,,
Vecākais kasieris/-e,1041,x,,,,,
Vecākais kasieris/-e,1041,x,,,,,
Vecākais kasieris/-e,1041,x,,,,,
Vecākais kasieris/-e,1041,x,,,,,
Vecākais kiberdrošības pētnieks/-ce,4550,x,,,,,
Vecākais kvalitātes speciālists/-e,1600,x,,,,,
Vecākais projektu vadītājs/-a,2600,x,,,,,
Vecākais projektu vadītājs/-a,2738,x,,,,,
Vecākais remontatslēdznieks-mehatroniķis/-e,1800,x,,,,,
Vecākais remontatslēdznieks-mehatroniķis/-e,1800,x,,,,,
Vecākais sistēmanalītiķis/-e,2500,x,,,,,
Vecākais sistēmu inženieris/-e,3100,x,,,,,
Vecākais sistēmu inženieris/-e,3100,x,,,,,
Vecākais transakciju monitoringa speciālists/-e,2200,x,,,,,
Vecākais/-ā full-stack programmētājs/-a,4250,x,,,,,
Vecākais/-ā grāmatvedis/-e,1900,x,,,,,
Vecākais/-ā grāmatvedis/-e,1900,x,,,,,
Vecākais/-ā grāmatvedis/-e,2100,x,,,,,
Vecākais/-ā informāciju sistēmu programmētājs/-a (Back-End),4000,x,,,,,
Vecākais/-ā klientu konsultants/-e,1600,x,,,,,
Vecākais/-ā konsultants/-e  Publiskā sektora konsultāciju komandā,2500,x,,,,,
Vecākais/-ā konsultants/-e  Stratēģijas un korporatīvo finanšu komandā,2500,x,,,,,
Vecākais/-ā konsultants/-e Grāmatvedības konsultāciju pakalpojumu jomā,2600,x,,,,,
Vecākais/-ā kreditēšanas darījumu vadītājs/-a,2700,x,,,,,
Vecākais/-ā sistēmanalītiķis/-e ar Java izstrādātāja iemaņām,3000,x,,,,,
Vecākais/-ā sistēmu analītiķis/-e,3700,x,,,,,
Vecākais/-ā tehnologs/-ģe,1450,x,,,,,
Vecākais/-ā uzraudzības eksperts/-e,3000,x,,,,,
Vecākais/-ā ķīmiķis/-e,1300,x,,,,,
Veikala nodaļas vadītājs/-a,200,x,,,,,
Veikala nodaļas vadītājs/-a,200,x,,,,,
Veikala nodaļas vadītājs/-a,200,x,,,,,
Veikala nodaļas vadītājs/-a,200,x,,,,,
Veikala nodaļas vadītājs/-a,200,x,,,,,
Veikala nodaļas vadītājs/-a,200,x,,,,,
Veikala nodaļas vadītājs/-a,200,x,,,,,
Veikala nodaļas vadītājs/-a,200,x,,,,,
Veikala nodaļas vadītājs/-a,200,x,,,,,
Veikala vadītāja vietnieks/-ce,1380,x,,,,,
Veikala vadītājs/-a,1900,x,,,,,
Veikala vadītājs/-a,240,x,,,,,
Veikala vadītājs/-a TC Damme,1300,x,,,,,
"Veikala vadītājs/-a, Vecākais pārdevējs/-a",2200,x,,,,,
Veikalu krājumu plānošanas speciālists/-e (uz noteiktu laiku),1500,x,,,,,
Veselības aprūpes vadītājs/-a,1800,x,,,,,
Video/Foto satura speciālists/-e,2500,x,,,,,
Videogrāfs/-e,1600,x,,,,,
Vides aizsardzības speciālists/-e (pusslodze),850,x,,,,,
Vides projektu speciālists/-e,1650,x,,,,,
Vides pārvaldības speciālists/-e,1900,x,,,,,
Vides pārvaldības speciālists/-e,1900,x,,,,,
Viesnīcas uzņemšanas nodaļas vecākais/-ā administrators/-e,1300,x,,,,,
Viesnīcas uzņemšanas nodaļas vecākais/-ā administrators/-e,1300,x,,,,,
Virtualizētas IT infrastruktūras speciālists/-e,3500,x,,,,,
Vispārceltniecisko darbu projektu vadītājs/-a,2900,x,,,,,
Vājstrāvas tīklu un sistēmu projektētājs/-a,2500,x,,,,,
Vēja ģeneratoru remontu un apkopes speciālists/-e,4500,x,,,,,
Zemsprieguma produktu grupas vadītājs/-a,2750,x,,,,,
Zvanu centra klientu apkalpošanas speciālists/e,1125,x,,,,,
Zvanu centra operators/-e (ar vācu valodas zināšanām),1550,x,,,,,
Zvanu centra vadītājs/-a,1950,x,,,,,
Zāļu reģistrācijas speciālists/-e (uz noteiktu laiku),1950,x,,,,,
Zāļu reģistrācijas speciālists/-e (uz noteiktu laiku),1950,x,,,,,
Zīmolu pārdošanas vadītājs/-a,2000,x,,,,,
iOS vecākais/-ā programmētājs/-a,3000,x,,,,,
piena produktu pasterizācijas operators (-e),1260,x,,,,,
portāla jauns.lv ziņu redaktors/-e,1450,x,,,,,
praktikants/-e  Darījumu konsultāciju - M&A  komandā,815,x,,,,,
praktikants/-e  Darījumu konsultāciju - M&A  komandā,815,x,,,,,
praktikants/-e  Risku konsultāciju komandā,815,x,,,,,
Ārpakalpojumu projektu vadītājs/-a (uz noteiktu laiku),2400,x,,,,,
Ārvalstu studentu apkalpošanas speciālists/-e,1409,x,,,,,
Ārzemju izglītības menedžeris/-e,1900,x,,,,,
"Ārzonas pārdevējs/-a  Jelgavā, Loka maģistrālē 1b, LV-3004",1120,x,,,,,
Ārējo tīklu elektromontieris/-e,2000,x,,,,,
Ķīmiķis/-e - analītiķis/-e,1850,x,,,,,
Ķīmiķis/-e-Analītiķis/-e,1500,x,,,,,
Šuvējs/-a,1165,x,,,,,
Šķīdumu pagatavošanas operators/-e,1800,x,,,,,
Žurnālists/-e,1350,x,,,,,
Конструктор / Konstruktors/-e,1400,,,,,x,
Менеджер по продажам (Pārdošanas menedžeris/-e),1450,,,,,x,
Grāmatvede-uzskaitvede,1275,,x,,,,
Grāmatvede-uzskaitvede,1275,,x,,,,
Klīnikas virsmāsa,1892,,x,,,,
Medicīnas māsa,1700,,x,,,,
Sekretāre,1500,,x,,,,
Sekretāre,1500,,x,,,,
"""KFC"" Restorāna vadītājs",1800,,,x,,,
3D inženieris / Konstruktors,2700,,,x,,,
Administratīvais direktors,2850,,,x,,,
Agronoms,2500,,,x,,,
Analītiķa asistents,1350,,,x,,,
Apdrošināšanas speciālists,1300,,,x,,,
Apsaimniekotājs-Tehniķis,1700,,,x,,,
Aptiekas vadītājs,1846,,,x,,,
Aptiekas vadītājs,1846,,,x,,,
Arhitekts,3000,,,x,,,
Arhitekts,3000,,,x,,,
Arhitekts/ Tehniķis,2100,,,x,,,
Asistents,1300,,,x,,,
Atbilstības eksperts,2750,,,x,,,
Atslēdznieks,1875,,,x,,,
Atslēdznieks,1875,,,x,,,
Autoelektriķis - Diagnostiķis,2750,,,x,,,
Automehāniķis,400,,,x,,,
Automehāniķis,4078,,,x,,,
Automehāniķis,4078,,,x,,,
Biroja administrators,1000,,,x,,,
Biroja administrātors,1000,,,x,,,
Biroja administrātors,1000,,,x,,,
Bārmenis-viesmīlis,1300,,,x,,,
Būvdarbu vadītājs,2500,,,x,,,
Būvdarbu vadītājs,2500,,,x,,,
Būvdarbu vadītājs,2400,,,x,,,
Būvdarbu vadītājs,3250,,,x,,,
Būvdarbu vadītājs,1750,,,x,,,
Būvdarbu vadītājs,1750,,,x,,,
Būvinženieris,1800,,,x,,,
Būvinženieris,1800,,,x,,,
Datortīklu administrators,2750,,,x,,,
Ekspeditors,2050,,,x,,,
Ekspeditors,2050,,,x,,,
Finanšu analītiķis,2000,,,x,,,
Finanšu analītiķis,2000,,,x,,,
Finanšu analītiķis,2000,,,x,,,
Finanšu analītiķis,2000,,,x,,,
Finanšu speciālists,1550,,,x,,,
Finanšu speciālists,2050,,,x,,,
Fizioterapeits,1329,,,x,,,
Freelance programmētājs,4000,,,x,,,
Galvenais Grāmatvedis,2500,,,x,,,
Galvenais inženieris,1471,,,x,,,
Galvenais inženieris,1471,,,x,,,
Galvenais mehāniķis (Jēkabpils),2900,,,x,,,
Galvenais mehāniķis (Jēkabpils),2900,,,x,,,
Grāmatvedis,2000,,,x,,,
Grāmatvedis,1400,,,x,,,
Grāmatvedis,1550,,,x,,,
Grāmatvedis,1800,,,x,,,
Grāmatvedis,1500,,,x,,,
Grāmatveža palīgs,1000,,,x,,,
Grāmatveža palīgs,1000,,,x,,,
Iekšējais auditors,1800,,,x,,,
Iekšējais auditors,3300,,,x,,,
Iepirkuma asistents,1300,,,x,,,
Iepirkumu speciālists,2000,,,x,,,
Iepirkumu speciālists,1450,,,x,,,
Iepirkumu speciālists,1350,,,x,,,
Iepirkumu speciālists,1350,,,x,,,
Izglītības metodiķis,1603,,,x,,,
Jurista palīgs,1500,,,x,,,
Jurista palīgs,1650,,,x,,,
Jurists,1483,,,x,,,
Jurists,2400,,,x,,,
Koklaukuma vadītājs,1800,,,x,,,
Kokmateriālu iepircējs,2250,,,x,,,
Laboratorijas tehniķis,1770,,,x,,,
Loģistikas speciālists,1500,,,x,,,
Loģistikas speciālists,1550,,,x,,,
Loģistikas speciālists,1300,,,x,,,
Loģistikas speciālists,2500,,,x,,,
Loģistikas speciālists,2500,,,x,,,
Medicīnas pārstāvis,2800,,,x,,,
Medicīnas pārstāvis,1700,,,x,,,
Medicīnas pārstāvis,2800,,,x,,,
Medicīnas pārstāvis,1700,,,x,,,
Mehāniķis,1735,,,x,,,
Mehāniķis,1700,,,x,,,
Mehāniķis - mehatroniķis,2250,,,x,,,
Mārketinga speciālists,1950,,,x,,,
Mārketinga speciālists,1500,,,x,,,
Mēbeļu konstruktors,1600,,,x,,,
Mēbeļu konstruktors,1600,,,x,,,
NOLIKTAVAS DARBINIEKS,1100,,,x,,,
Namu pārvaldnieks,1850,,,x,,,
Noliktavas darbinieks,1460,,,x,,,
Noliktavas darbinieks,1400,,,x,,,
Noliktavas darbinieks,1000,,,x,,,
Noņēmējs-kontrolieris,200,,,x,,,
PROCESU TEHNOLOGS,1320,,,x,,,
Pakalpojumu vadītājs,1800,,,x,,,
Pasākumu organizators,1800,,,x,,,
Pavārs,160,,,x,,,
Personāla speciālists,1405,,,x,,,
Personāla speciālists,1900,,,x,,,
Personāla speciālists,1278,,,x,,,
Personāla speciālists,1400,,,x,,,
Personāla speciālists,1600,,,x,,,
Personāla speciālists,1400,,,x,,,
Personāla speciālists,1600,,,x,,,
Projektu vadītājs,3000,,,x,,,
Projektu vadītājs,1800,,,x,,,
Projektu vadītājs,1641,,,x,,,
Projektu vadītājs,2100,,,x,,,
Projektu vadītājs,1800,,,x,,,
Projektu vadītājs,1900,,,x,,,
Projektu vadītājs,1400,,,x,,,
Projektu vadītājs,1400,,,x,,,
Pārdošanas pārstāvis,2400,,,x,,,
Pārdošanas pārstāvis,1750,,,x,,,
Pārdošanas pārstāvis,1800,,,x,,,
Pārdošanas pārstāvis,1800,,,x,,,
Pārdošanas speciālists,2150,,,x,,,
Pārdošanas speciālists,1500,,,x,,,
Pārdošanas speciālists,2000,,,x,,,
Pārtikas tehnologs,2500,,,x,,,
QA Testētājs,2350,,,x,,,
QA Testētājs,2350,,,x,,,
Rasētājs,2050,,,x,,,
Rasētājs / Konstruktors,1900,,,x,,,
Rasētājs / Konstruktors,1900,,,x,,,
Ražošanas operators,1750,,,x,,,
Reanimatologs/Anesteziologs,600,,,x,,,
Remontatslēdznieks,1300,,,x,,,
Remontatslēdznieks,1300,,,x,,,
Remontatslēdznieks,1300,,,x,,,
Remontatslēdznieks,1300,,,x,,,
Restorāna vadītājs,1200,,,x,,,
Restorāna vadītājs,1650,,,x,,,
Reģionālais vadītājs,2750,,,x,,,
Risku analītiķis,2225,,,x,,,
SMM speciālists,1510,,,x,,,
Sagādnieks,1650,,,x,,,
Servisa konsultants,2500,,,x,,,
Sistēmu administrators,2800,,,x,,,
Sociālais aprūpētājs,1000,,,x,,,
Sociālais rehabilitētājs,1000,,,x,,,
Spa administrators,640,,,x,,,
Spēļu prezentētājs,1280,,,x,,,
Spēļu prezentētājs,1950,,,x,,,
Struktūrvienības vadītājs,1500,,,x,,,
Struktūrvienības vadītājs,1500,,,x,,,
Tehnikas iepircējs,2450,,,x,,,
Tehniskais darbinieks,1550,,,x,,,
Tehniskais speciālists,1400,,,x,,,
Tehniķis,2250,,,x,,,
Tehniķis - Elektriķis,1550,,,x,,,
Teritoriālplānotājs - eksperts,1363,,,x,,,
Tirdzniecības konsultants,1050,,,x,,,
Tirdzniecības pārstāvis,2000,,,x,,,
Tāmju inženieris,1790,,,x,,,
Tāmju inženieris,1790,,,x,,,
Tāmētājs,1800,,,x,,,
Tāmētājs,2200,,,x,,,
Vairumtirdzniecības menedžeris,1300,,,x,,,
Vecākais jurists,2000,,,x,,,
Vecākais kontrolieris,1293,,,x,,,
Vecākais programmētājs,2700,,,x,,,
Vecākais referents,1490,,,x,,,
Vecākais tehnologs,1700,,,x,,,
Veikala vadītājs Dobelē,2300,,,x,,,
Veikala vadītājs Vācijā,800,,,x,,,
Viesnīcas administrators,280,,,x,,,
Zāģētavas vadītājs,4500,,,x,,,
Ārsts,600,,,x,,,
Ķīmiķis - analītiķis,1100,,,x,,,
Ķīmiķis- Tehnologs,2250,,,x,,,
Ķīmiķis- Tehnologs,2250,,,x,,,
"AEM Frontend Developer, Reporting System",4600,,,,x,,
"AEM Frontend Developer, Reporting System",4600,,,,x,,
"CRM Developer, Banking System",4000,,,,x,,
Chief Technology Officer (CTO),6250,,,,x,,
Chief Technology Officer (CTO),6250,,,,x,,
Crew Control Officer,1500,,,,x,,
Crew Control Officer,1500,,,,x,,
Crew Travel Officer,1500,,,,x,,
Crew Travel Officer,1500,,,,x,,
ECB Regulatory Officer,3000,,,,x,,
Group HR System Administrator / Grupas HR sistēmu administrators/-e,1650,,,,,x,
"HR System Specialist, Tietoevry Banking",2500,,,,x,,
ICT or Data Oversight Risk Officer,3300,,,,x,,
IT Business/System Analyst,3550,,,,x,,
IT System Engineer (Azure Analytics / Power Platform),4500,,,,x,,
Internal IT Systems Specialist,1800,,,,x,,
Invoicing Officer,1300,,,,x,,
Junior Information Systems Security Administrator,1700,,,,x,,
"Middle .NET Developer, Tickets Selling System",3150,,,,x,,
Middle ML Engineer (Recommender Systems Specialist) (ML100),4250,,,,x,,
Multitasking Office manager,2100,,,,x,,
Office & Payroll Administrator,1450,,,,x,,
Office Administrative Assistant,1900,,,,x,,
Office Administrator,1300,,,,x,,
Office Administrator,1300,,,,x,,
Office Manager,1650,,,,x,,
Office Manager,1400,,,,x,,
Office Manager,1400,,,,x,,
Office Manager - Engineering,2500,,,,x,,
Office administrator,1600,,,,x,,
Office administrator,1600,,,,x,,
Operations Control Centre Officer,1850,,,,x,,
Performance Marketing Officer,4250,,,,x,,
Personal Assistant/Office administrator,1969,,,,x,,
Risk Control Officer for Swedbank P&C Insurance,2800,,,,x,,
Sanctions Compliance Officer,2700,,,,x,,
Senior AML/CTF Officer,4300,,,,x,,
Senior Business Continuity & Recovery Officer,3500,,,,x,,
Senior Business System Analyst,3650,,,,x,,
Senior Business System Analyst,3650,,,,x,,
"Senior C++ Developer, Accounting Systems",4220,,,,x,,
Senior Compliance Officer,3250,,,,x,,
Senior Compliance Officer (Compliance Governance),3550,,,,x,,
Senior ICT or Data Oversight Risk Officer,3700,,,,x,,
Senior Microsoft System Administrator,4500,,,,x,,
Senior Sanctions Compliance Officer,3350,,,,x,,
Senior System Analyst,3250,,,,x,,
Senior System Analyst (with Product Owner skills),3300,,,,x,,
Senior System Analyst (with Product Owner skills),3300,,,,x,,
System Administrator,1450,,,,x,,
System Administrator,2600,,,,x,,
System Analyst,2842,,,,x,,
Treasury Officer,1260,,,,x,,
"UI/UX Designer, Hospital Health System",3615,,,,x,,
Digital marketing specialist/ cпециалист по цифровому маркетингу,1700,,,,,x,
Elektriķi Zviedrijā / Электрики в Швеции,640,,,,,x,
Elektriķi Zviedrijā / Электрики в Швеции,640,,,,,x,
Junior Аccount manager/Аnalyst,1400,,,,x,,
Personāla speciālists / Рекрутер,2000,,,,,x,
Waiter / Официант на круизный лайнер / Viesmīlis,2477,,,,,x,
.NET Developer,3550,,,,x,,
.NET Developer,3700,,,,x,,
.NET Developer & Scrum Master,3700,,,,x,,
.NET Developer & Scrum Master,3700,,,,x,,
.NET Developer (Senior OR Lead),5500,,,,x,,
.NET Developer (Senior OR Lead),5500,,,,x,,
2.novada pārvaldes jaunsargu instruktors Daugavpilī,1860,,,x,,,
3D Motion Designer,3000,,,,x,,
5.novada pārvaldes jaunsargu instruktors Rīgā,1860,,,x,,,
AML Specialist,1950,,,,x,,
AML Specialist,3000,,,,x,,
AML Specialist,3000,,,,x,,
AML specialist,1700,,,,x,,
AWS Cloud Architect,3562,,,,x,,
AWS Cloud Architect,3562,,,,x,,
Account Executive,2200,,,,x,,
Account Executive,2200,,,,x,,
Account Manager,2150,,,,x,,
Account Manager,2480,,,,x,,
Account Manager,2480,,,,x,,
Account Manager (German speaking),2500,,,,x,,
Account Manager (Riga) at a Bus Charter Company,2200,,,,x,,
Account manager in Promotions department,1885,,,,x,,
Account manager in Promotions department,1885,,,,x,,
Accountant,1650,,,,x,,
Accountant,2000,,,,x,,
Accountant,2000,,,,x,,
Accountant in Accounting and Finance Operations department,1325,,,,x,,
Accountant in Fixed Assets Team (1 year contract),1700,,,,x,,
Accountant with German language skills,1900,,,,x,,
Accountant with Swedish language skills,1600,,,,x,,
Accounts Payable Analyst with Lithuanian,1800,,,,x,,
Accounts Payable Coordinator,1125,,,,x,,
Accounts Payable Coordinator,1125,,,,x,,
Accounts Payable Team Leader,1750,,,,x,,
"Accounts Payables Accountant, Tietoevry Latvia",1400,,,,x,,
"Accounts Payables Accountant, Tietoevry Latvia",1400,,,,x,,
Accounts Receivable Specialist (1 year contract),1700,,,,x,,
Accounts Receivable Team Leader,1750,,,,x,,
Accounts Receivable Team Leader,1750,,,,x,,
Acquiring project manager,2100,,,,x,,
Acquiring project manager,2100,,,,x,,
Active Sales Manager (Latvia Branch),4154,,,,x,,
Active Sales Manager (Latvia Branch),4154,,,,x,,
Actuary,2500,,,,x,,
Actuary,2500,,,,x,,
Administration Specialist in Purchasing Department,1550,,,,x,,
Administratori/-u BMW/ MINI/ BMW Motorrad autocentrā,1390,x,,,,,
Administrators - Datu apstrādes speciālists,1800,,,x,,,
Administrators - Datu apstrādes speciālists,1800,,,x,,,
Administrators - vecākais referents,1090,,,x,,,
Administrators ekspedīcijas nodaļā,1325,,,x,,,
Administrators ekspedīcijas nodaļā,1325,,,x,,,
Administratīvā departamenta Lietvedis-Rēķinvedis,1650,,,x,,,
Administrācijas pārvaldes galvenais referents,1320,,,x,,,
Advisor in Collateral and Loan Establishment department for private clients,1650,,,,x,,
Advisor in Collateral department for corporate clients,1700,,,,x,,
Affiliate & Traffic Manager,2750,,,,x,,
Akustisko mērījumu inženieris,1525,,,,x,,
